"","Código","Provincia","Urbano","Rural","Sí lee y escribe","No lee ni escribe"
"10","105","Amazonas, provincia: Luya","6502","37934","34354","7638"
"11","106","Amazonas, provincia: Rodríguez de Mendoza","4989","25009","24095","4323"
"12","107","Amazonas, provincia: Utcubamba","53849","53388","84202","17064"
"13","201","Áncash, provincia: Huaraz","123069","40867","135570","20049"
"14","202","Áncash, provincia: Aija","0","6316","5310","729"
"15","203","Áncash, provincia: Antonio Raymondi","0","13650","10245","2678"
"16","204","Áncash, provincia: Asunción","0","7378","5309","1737"
"17","205","Áncash, provincia: Bolognesi","9276","14521","19861","2895"
"18","206","Áncash, provincia: Carhuaz","13820","31364","32796","10214"
"19","207","Áncash, provincia: Carlos Fermín Fitzcarrald","3786","13931","12285","4546"
"20","208","Áncash, provincia: Casma","38907","12082","41579","6696"
"21","209","Áncash, provincia: Corongo","0","7532","6005","1175"
"22","210","Áncash, provincia: Huari","13000","45714","44747","11107"
"23","211","Áncash, provincia: Huarmey","22295","8265","26222","2762"
"24","212","Áncash, provincia: Huaylas","15204","36130","38756","9834"
"25","213","Áncash, provincia: Mariscal Luzuriaga","0","20284","13802","5476"
"26","214","Áncash, provincia: Ocros","0","7039","5979","726"
"27","215","Áncash, provincia: Pallasca","6913","16578","18239","3986"
"28","216","Áncash, provincia: Pomabamba","5667","19127","16723","6830"
"29","217","Áncash, provincia: Recuay","5969","11216","13918","2480"
"30","218","Áncash, provincia: Santa","412281","23526","377097","38174"
"31","219","Áncash, provincia: Sihuas","4354","22617","19539","5947"
"32","220","Áncash, provincia: Yungay","12187","38654","36371","11932"
"33","301","Apurímac, provincia: Abancay","79657","30863","90367","14528"
"34","302","Apurímac, provincia: Andahuaylas","69220","73257","107058","27938"
"35","303","Apurímac, provincia: Antabamba","0","11310","8790","2050"
"36","304","Apurímac, provincia: Aymaraes","4297","20010","18535","4747"
"37","305","Apurímac, provincia: Cotabambas","15853","34803","36999","10926"
"38","306","Apurímac, provincia: Chincheros","13832","31415","33474","9274"
"39","307","Apurímac, provincia: Grau","3105","18137","16009","4283"
"40","401","Arequipa, provincia: Arequipa","1063523","17112","951789","80118"
"41","402","Arequipa, provincia: Camaná","49868","9502","51143","5351"
"42","403","Arequipa, provincia: Caravelí","26447","14899","35543","3734"
"43","404","Arequipa, provincia: Castilla","18554","15075","28112","3990"
"44","405","Arequipa, provincia: Caylloma","55954","30817","72316","9935"
"45","406","Arequipa, provincia: Condesuyos","2830","13288","13472","1974"
"46","407","Arequipa, provincia: Islay","49575","2459","45557","4303"
"47","408","Arequipa, provincia: La Unión","2190","10637","9588","2613"
"48","501","Ayacucho, provincia: Huamanga","220954","61240","229912","37274"
"49","502","Ayacucho, provincia: Cangallo","8185","22258","22506","6470"
"50","503","Ayacucho, provincia: Huanca Sancos","3023","5386","6525","1559"
"51","504","Ayacucho, provincia: Huanta","44773","44693","69024","15331"
"52","505","Ayacucho, provincia: La Mar","34184","36469","53335","13400"
"53","506","Ayacucho, provincia: Lucanas","19804","31524","41031","8050"
"54","507","Ayacucho, provincia: Parinacochas","16221","11438","22070","4383"
"55","508","Ayacucho, provincia: Páucar del Sara Sara","2717","6892","7849","1332"
"56","509","Ayacucho, provincia: Sucre","2269","7176","7424","1655"
"57","510","Ayacucho, provincia: Víctor Fajardo","3338","16771","15108","4202"
"58","511","Ayacucho, provincia: Vilcas Huamán","2577","14284","12302","3834"
"59","601","Cajamarca, provincia: Cajamarca","209408","139025","278095","51236"
"60","602","Cajamarca, provincia: Cajabamba","21112","54575","56290","14732"
"61","603","Cajamarca, provincia: Celendín","19809","59275","59726","15282"
"62","604","Cajamarca, provincia: Chota","30413","112571","106395","29722"
"63","605","Cajamarca, provincia: Contumazá","7744","19949","22855","3517"
"64","606","Cajamarca, provincia: Cutervo","23918","96805","91147","23863"
"65","607","Cajamarca, provincia: Hualgayoc","17428","60516","55494","19005"
"66","608","Cajamarca, provincia: Jaén","96443","88989","148414","27116"
"67","609","Cajamarca, provincia: San Ignacio","25881","104739","100449","22273"
"68","610","Cajamarca, provincia: San Marcos","9835","38268","35537","9967"
"69","611","Cajamarca, provincia: San Miguel","4426","41617","36560","7466"
"70","612","Cajamarca, provincia: San Pablo","3475","17627","15833","4183"
"71","613","Cajamarca, provincia: Santa Cruz","5176","31988","29173","6277"
"72","701","Provincia Constitucional del Callao","994494","0","881563","67582"
"73","801","Cusco, provincia: Cusco","432662","14926","390423","35699"
"74","802","Cusco, provincia: Acomayo","10384","12556","17195","4751"
"75","803","Cusco, provincia: Anta","16907","39299","43808","9494"
"76","804","Cusco, provincia: Calca","28308","34847","47810","12164"
"77","805","Cusco, provincia: Canas","3870","28614","24636","6438"
"78","806","Cusco, provincia: Canchis","59677","36097","76778","14649"
"79","807","Cusco, provincia: Chumbivilcas","15794","50616","49451","14000"
"80","808","Cusco, provincia: Espinar","33241","24341","46527","8162"
"81","809","Cusco, provincia: La Convención","57019","90129","119262","21174"
"82","810","Cusco, provincia: Paruro","0","25567","18467","6007"
"83","811","Cusco, provincia: Paucartambo","3990","38514","29433","10559"
"84","812","Cusco, provincia: Quispicanchi","38049","49381","64752","17837"
"85","813","Cusco, provincia: Urubamba","31351","29388","49122","8590"
"86","901","Huancavelica, provincia: Huancavelica","61849","53205","90165","18952"
"87","902","Huancavelica, provincia: Acobamba","10036","28172","27896","8322"
"88","903","Huancavelica, provincia: Angaraes","11259","37948","35957","10465"
"89","904","Huancavelica, provincia: Castrovirreyna","0","13982","11267","2003"
"90","905","Huancavelica, provincia: Churcampa","3306","29232","23628","7213"
"91","906","Huancavelica, provincia: Huaytará","0","17247","13777","2695"
"92","907","Huancavelica, provincia: Tayacaja","19412","61991","61189","16094"
"93","1001","Huánuco, provincia: Huánuco","210539","82858","235689","42478"
"94","1002","Huánuco, provincia: Ambo","17964","32916","38142","9755"
